Agency,Business Title,Civil Service Title,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location
DEPT OF DESIGN & CONSTRUCTION,Program Coordinator,COMMUNITY ASSOCIATE,Constituent Services & Community Programs,F,37217,61936,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Program Coordinator,COMMUNITY ASSOCIATE,Constituent Services & Community Programs,F,37217,61936,Annual,30-30 Thomson Ave L I City Qns
LAW DEPARTMENT,Deputy Chief of Facilities & Technical Support,ASSOCIATE STAFF ANALYST,Administration & Human Resources Building Operations & Maintenance,F,65731,97873,Annual,"100 Church St., N.Y."
DEPT OF DESIGN & CONSTRUCTION,Deputy Director,ADM CONSTRUCTION PRJ MGR-NM,"Engineering, Architecture, & Planning",,52137,141865,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Web Content Coordinator and Developer,COMMUNITY COORDINATOR,"Communications & Intergovernmental Affairs Technology, Data & Innovation",F,52524,81535,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Web Content Coordinator and Developer,COMMUNITY COORDINATOR,"Communications & Intergovernmental Affairs Technology, Data & Innovation",F,52524,81535,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Assistant to the Chief of CAD/Survey,ENGINEERING TECHNICIAN,"Engineering, Architecture, & Planning",F,54436,75866,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Assistant to the Chief of CAD/Survey,ENGINEERING TECHNICIAN,"Engineering, Architecture, & Planning",F,54436,75866,Annual,30-30 Thomson Ave L I City Qns
DEPT OF HEALTH/MENTAL HYGIENE,Substance Use Care Technical Assistance Coordinator,CONSULTANT (PUBLIC HEALTH-SOCI,Health Social Services,F,64507,70000,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,Substance Use Care Technical Assistance Coordinator,CONSULTANT (PUBLIC HEALTH-SOCI,Health Social Services,F,64507,70000,Annual,42-09 28th Street
CIVILIAN COMPLAINT REVIEW BD,Investigator Level 1,INVESTIGATOR (CCRB),"Constituent Services & Community Programs Legal Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,41061,47220,Annual,"100 Church St., N.Y."
CIVILIAN COMPLAINT REVIEW BD,Investigator Level 1,INVESTIGATOR (CCRB),"Constituent Services & Community Programs Legal Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,41061,47220,Annual,"100 Church St., N.Y."
DEPT OF ENVIRONMENT PROTECTION,SOP Section Chief,ADMINISTRATIVE STAFF ANALYST (,"Engineering, Architecture, & Planning Policy, Research & Analysis",F,58675,156793,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,SOP Section Chief,ADMINISTRATIVE STAFF ANALYST (,"Engineering, Architecture, & Planning Policy, Research & Analysis",F,58675,156793,Annual,96-05 Horace Harding Expway
DEPT OF DESIGN & CONSTRUCTION,Safety Accident Investigator,ASSISTANT CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,55416,83151,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Safety Accident Investigator,ASSISTANT CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,55416,83151,Annual,30-30 Thomson Ave L I City Qns
DEPT OF HEALTH/MENTAL HYGIENE,A-Team Supervisor,PRINCIPAL ADMINISTRATIVE ASSOC,Health,F,54638,62834,Annual,421 East 26th Street NY NY
ADMIN FOR CHILDREN'S SVCS,Data Entry Specialist,CLERICAL ASSOCIATE,Social Services,F,35330,40629,Annual,"66 John Street, New York, Ny"
DEPT OF HEALTH/MENTAL HYGIENE,"Burial Desk Clerk, Bureau of Vital Statistics",CLERICAL ASSOCIATE,Health,F,38851,48253.32,Annual,"125 Worth Street, Nyc"
DEPT OF HEALTH/MENTAL HYGIENE,"Burial Desk Clerk, Bureau of Vital Statistics",CLERICAL ASSOCIATE,Health,F,38851,48253.32,Annual,"125 Worth Street, Nyc"
DEPT OF ENVIRONMENT PROTECTION,OTPS (Other Than Personnel Services) Expense Budget Specialist,STAFF ANALYST,"Finance, Accounting, & Procurement",F,58152,74479,Annual,"465 Columbus Ave. Valhalla, Ny"
DEPT OF ENVIRONMENT PROTECTION,OTPS (Other Than Personnel Services) Expense Budget Specialist,STAFF ANALYST,"Finance, Accounting, & Procurement",F,58152,74479,Annual,"465 Columbus Ave. Valhalla, Ny"
DEPT OF HEALTH/MENTAL HYGIENE,"Quality Assurance Supervisor, Bureau of School Health/SH MIS",SUPERVISING PUBLIC HEALTH ADVI,Health,F,52689,65439.36,Annual,"28-11 Queens Plaza No., L.I.C."
DEPT OF HEALTH/MENTAL HYGIENE,"Quality Assurance Supervisor, Bureau of School Health/SH MIS",SUPERVISING PUBLIC HEALTH ADVI,Health,F,52689,65439.36,Annual,"28-11 Queens Plaza No., L.I.C."
DEPT OF HEALTH/MENTAL HYGIENE,"School Mental Health Consultant, Bureau of School Health/SH Mental Health",PUBLIC HEALTH EDUCATOR,Health Social Services,F,57978,70756.2,Annual,"1 Court Square, Queens"
DEPT OF HEALTH/MENTAL HYGIENE,"School Mental Health Consultant, Bureau of School Health/SH Mental Health",PUBLIC HEALTH EDUCATOR,Health Social Services,F,57978,70756.2,Annual,"1 Court Square, Queens"
DEPARTMENT OF SANITATION,BOOKKEEPER,BOOKKEEPER,"Finance, Accounting, & Procurement",F,45340,66109,Annual,"2500 Richmond Ave, Staten Is N"
DEPARTMENT OF SANITATION,BOOKKEEPER,BOOKKEEPER,"Finance, Accounting, & Procurement",F,45340,66109,Annual,"2500 Richmond Ave, Staten Is N"
DEPARTMENT OF SANITATION,ASSOCIATE PROJECT MANAGER,ASSOCIATE PROJECT MANAGER,Building Operations & Maintenance,F,65783,95270,Annual,"52-35 58Th St., Woodside, Ny"
DEPARTMENT OF SANITATION,ASSOCIATE PROJECT MANAGER,ASSOCIATE PROJECT MANAGER,Building Operations & Maintenance,F,65783,95270,Annual,"52-35 58Th St., Woodside, Ny"
HUMAN RIGHTS COMMISSION,Director of Press & Public Information,ADMINISTRATIVE PUBLIC INFORMAT,Communications & Intergovernmental Affairs,F,56990,156829,Annual,"22 Reade St, Ny"
HUMAN RIGHTS COMMISSION,Director of Press & Public Information,ADMINISTRATIVE PUBLIC INFORMAT,Communications & Intergovernmental Affairs,F,56990,156829,Annual,"22 Reade St, Ny"
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Adviser, Bureau of School Health",PUBLIC HEALTH ADVISER (SCHOOL,Health,F,20.78,23.9,Hourly,"151 Maujer St., Brooklyn"
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Adviser, Bureau of School Health",PUBLIC HEALTH ADVISER (SCHOOL,Health,F,20.78,23.9,Hourly,"151 Maujer St., Brooklyn"
LAW DEPARTMENT,ASSISTANT CORPORATION COUNSEL,ASSISTANT CORPORATION COUNSEL,Legal Affairs,F,71436,71436,Annual,"100 Church St., N.Y."
LAW DEPARTMENT,ASSISTANT CORPORATION COUNSEL,ASSISTANT CORPORATION COUNSEL,Legal Affairs,F,71436,71436,Annual,"100 Church St., N.Y."
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Adviser, Bureau of School Health",PUBLIC HEALTH ADVISER (SCHOOL,Health,P,20.78,23.9,Hourly,"1 Court Square, Queens"
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Adviser, Bureau of School Health",PUBLIC HEALTH ADVISER (SCHOOL,Health,P,20.78,23.9,Hourly,"1 Court Square, Queens"
DEPT OF HEALTH/MENTAL HYGIENE,Clerical Associate III,CLERICAL ASSOCIATE,Health,F,35330,40629,Annual,421 East 26th Street NY NY
DEPT OF HEALTH/MENTAL HYGIENE,"Intern, Bureau of Primary Care Access and Planning",COLLEGE AIDE (ALL CITY DEPTS),Health,P,13.5,17.9,Hourly,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"Intern, Bureau of Primary Care Access and Planning",COLLEGE AIDE (ALL CITY DEPTS),Health,P,13.5,17.9,Hourly,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"Office Assistant,  Bureau of Controller/Fiscal Management",COLLEGE AIDE (ALL CITY DEPTS),Health,P,13.5,17.9,Hourly,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"Office Assistant,  Bureau of Controller/Fiscal Management",COLLEGE AIDE (ALL CITY DEPTS),Health,P,13.5,17.9,Hourly,42-09 28th Street
DEPT OF DESIGN & CONSTRUCTION,"Deputy Director, Grants Administration",ADMINISTRATIVE STAFF ANALYST (,"Finance, Accounting, & Procurement",F,63031,168433,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,"Deputy Director, Grants Administration",ADMINISTRATIVE STAFF ANALYST (,"Finance, Accounting, & Procurement",F,63031,168433,Annual,30-30 Thomson Ave L I City Qns
MAYORS OFFICE OF CONTRACT SVCS,"Senior Analyst, Organizational Development & Advisory Services",RESEARCH PROJECTS COOR(MA)-MGR,"Administration & Human Resources Communications & Intergovernmental Affairs Finance, Accounting, & Procurement Policy, Research & Analysis Social Services",F,57000,65000,Annual,253 Broadway New York Ny
MAYORS OFFICE OF CONTRACT SVCS,"Senior Analyst, Organizational Development & Advisory Services",RESEARCH PROJECTS COOR(MA)-MGR,"Administration & Human Resources Communications & Intergovernmental Affairs Finance, Accounting, & Procurement Policy, Research & Analysis Social Services",F,57000,65000,Annual,253 Broadway New York Ny
TAXI & LIMOUSINE COMMISSION,Policy Analyst,COMMUNITY ASSOCIATE,"Policy, Research & Analysis",F,47500,52524,Annual,"33 Beaver St, New York Ny"
TAXI & LIMOUSINE COMMISSION,Policy Analyst,COMMUNITY ASSOCIATE,"Policy, Research & Analysis",F,47500,52524,Annual,"33 Beaver St, New York Ny"
DEPT OF DESIGN & CONSTRUCTION,Project Director,ASSOCIATE PROJECT MANAGER,"Engineering, Architecture, & Planning",,87490,118610,Annual,30-30 Thomson Ave L I City Qns
DEPT OF DESIGN & CONSTRUCTION,Project Director,ASSOCIATE PROJECT MANAGER,"Engineering, Architecture, & Planning",,87490,118610,Annual,30-30 Thomson Ave L I City Qns
LANDMARKS PRESERVATION COMM,"DEPUTY DIRECTOR, RESEARCH",ADMINISTRATIVE LANDMARKS PRESE,"Engineering, Architecture, & Planning",F,70000,75000,Annual,"1 Centre St., N.Y."
LANDMARKS PRESERVATION COMM,"DEPUTY DIRECTOR, RESEARCH",ADMINISTRATIVE LANDMARKS PRESE,"Engineering, Architecture, & Planning",F,70000,75000,Annual,"1 Centre St., N.Y."
DEPT OF ENVIRONMENT PROTECTION,Assistant Engineer,ASSISTANT ENVIRONMENTAL ENGINE,"Engineering, Architecture, & Planning",F,57720,57720,Annual,59-17 Junction Blvd Corona Ny
DEPT OF ENVIRONMENT PROTECTION,Assistant Engineer,ASSISTANT ENVIRONMENTAL ENGINE,"Engineering, Architecture, & Planning",F,57720,57720,Annual,59-17 Junction Blvd Corona Ny
DEPT OF HEALTH/MENTAL HYGIENE,Health & Safety Officer,CITY RESEARCH SCIENTIST,Health,F,62272,62272,Annual,421 East 26th Street NY NY
DEPT OF HEALTH/MENTAL HYGIENE,Health & Safety Officer,CITY RESEARCH SCIENTIST,Health,F,62272,62272,Annual,421 East 26th Street NY NY
DEPT OF INFO TECH & TELECOMM,ITSM Service Desk Agent,TELECOMMUNICATIONS ASSOCIATE (,"Technology, Data & Innovation",,42129,55000,Annual,11 Metrotech Center
DEPT OF INFO TECH & TELECOMM,ITSM Service Desk Agent,TELECOMMUNICATIONS ASSOCIATE (,"Technology, Data & Innovation",,42129,55000,Annual,11 Metrotech Center
CONSUMER AFFAIRS,"Senior Program Officer, Asset Building",COMMUNITY COORDINATOR,Constituent Services & Community Programs Social Services,F,52524,72000,Annual,"42 Broadway, N.Y."
CONSUMER AFFAIRS,"Senior Program Officer, Asset Building",COMMUNITY COORDINATOR,Constituent Services & Community Programs Social Services,F,52524,72000,Annual,"42 Broadway, N.Y."
DEPT OF HEALTH/MENTAL HYGIENE,"School Mental Health Consultant, Bureau of School Health/SH Mental Health",PUBLIC HEALTH EDUCATOR,Health,F,57978,70756.2,Annual,R E DEV FOR Preservation
DEPT OF HEALTH/MENTAL HYGIENE,"School Mental Health Consultant, Bureau of School Health/SH Mental Health",PUBLIC HEALTH EDUCATOR,Health,F,57978,70756.2,Annual,R E DEV FOR Preservation
DEPARTMENT OF CITY PLANNING,Community Planning Analyst,COMMUNITY COORDINATOR,Constituent Services & Community Programs Communications & Intergovernmental Affairs,F,58000,68000,Annual,"120 Broadway, New York, NY"
DEPARTMENT OF CITY PLANNING,Community Planning Analyst,COMMUNITY COORDINATOR,Constituent Services & Community Programs Communications & Intergovernmental Affairs,F,58000,68000,Annual,"120 Broadway, New York, NY"
DEPT OF ENVIRONMENT PROTECTION,Agency Attorney Intern,AGENCY ATTORNEY INTERNE,Legal Affairs,F,57944,66636,Annual,59-17 Junction Blvd Corona Ny
DEPT OF ENVIRONMENT PROTECTION,Agency Attorney Intern,AGENCY ATTORNEY INTERNE,Legal Affairs,F,57944,66636,Annual,59-17 Junction Blvd Corona Ny
DEPT OF ENVIRONMENT PROTECTION,Clerical Associate,CLERICAL ASSOCIATE,"Communications & Intergovernmental Affairs Policy, Research & Analysis",F,35330,40629,Annual,59-17 Junction Blvd Corona Ny
DEPT OF HEALTH/MENTAL HYGIENE,"Inspector II, Bureau of Environmental Sciences and Engineering",SCIENTIST (WATER ECOLOGY),Health,,51390,59098,Annual,"1 Court Square, Queens"
DEPT OF HEALTH/MENTAL HYGIENE,"Inspector II, Bureau of Environmental Sciences and Engineering",SCIENTIST (WATER ECOLOGY),Health,,51390,59098,Annual,"1 Court Square, Queens"
DEPT OF ENVIRONMENT PROTECTION,Engineering Technician I,ENGINEERING TECHNICIAN,"Public Safety, Inspections, & Enforcement",F,37796,49035,Annual,96-05 Horace Harding Expway
DEPT OF ENVIRONMENT PROTECTION,Engineering Technician I,ENGINEERING TECHNICIAN,"Public Safety, Inspections, & Enforcement",F,37796,49035,Annual,96-05 Horace Harding Expway
DEPT OF HEALTH/MENTAL HYGIENE,"IT Student, Bureau of IT Informatics",COLLEGE AIDE (ALL CITY DEPTS),"Health Technology, Data & Innovation",P,13.5,17.9,Hourly,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"IT Student, Bureau of IT Informatics",COLLEGE AIDE (ALL CITY DEPTS),"Health Technology, Data & Innovation",P,13.5,17.9,Hourly,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,Deputy Director (EPCS II),EVIDENCE AND PROPERTY CONTROL,Health,F,65000,65000,Annual,421 East 26th Street NY NY
DEPT OF HEALTH/MENTAL HYGIENE,Deputy Director (EPCS II),EVIDENCE AND PROPERTY CONTROL,Health,F,65000,65000,Annual,421 East 26th Street NY NY
DEPARTMENT OF TRANSPORTATION,Office Assistant,CLERICAL ASSOCIATE,Administration & Human Resources,F,38851,60990,Annual,55 Water St Ny Ny
DEPT OF ENVIRONMENT PROTECTION,Civil Engineer,CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,78210,108657,Annual,"465 Columbus Ave. Valhalla, Ny"
DEPT OF ENVIRONMENT PROTECTION,Civil Engineer,CIVIL ENGINEER,"Engineering, Architecture, & Planning",F,78210,108657,Annual,"465 Columbus Ave. Valhalla, Ny"
DEPARTMENT OF INVESTIGATION,Inspector General,INSPECTOR GENERAL,"Public Safety, Inspections, & Enforcement",F,120000,130000,Annual,80 Maiden Lane
DEPARTMENT OF INVESTIGATION,Inspector General,INSPECTOR GENERAL,"Public Safety, Inspections, & Enforcement",F,120000,130000,Annual,80 Maiden Lane
DEPT OF INFO TECH & TELECOMM,IT Business Analyst,IT PROJECT SPECIALIST,"Technology, Data & Innovation",,0,100000,Annual,2 Metro Tech
DEPT OF INFO TECH & TELECOMM,IT Business Analyst,IT PROJECT SPECIALIST,"Technology, Data & Innovation",,0,100000,Annual,2 Metro Tech
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Inspector, Bureau of Child Care",PUBLIC HEALTH SANITARIAN,"Health Public Safety, Inspections, & Enforcement",F,44390,51049,Annual,"125 Worth Street, Nyc"
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Inspector, Bureau of Child Care",PUBLIC HEALTH SANITARIAN,"Health Public Safety, Inspections, & Enforcement",F,44390,51049,Annual,"125 Worth Street, Nyc"
DEPT OF ENVIRONMENT PROTECTION,District Supervisor (Water & Sewer Systems),DISTRICT SUPERVISOR (WATER & S,Building Operations & Maintenance,F,66811,98262,Annual,"22 N. 15 St, Bklyn"
DEPT OF ENVIRONMENT PROTECTION,District Supervisor (Water & Sewer Systems),DISTRICT SUPERVISOR (WATER & S,Building Operations & Maintenance,F,66811,98262,Annual,"22 N. 15 St, Bklyn"
LAW DEPARTMENT,Project Manager,PROJECT MANAGER,"Administration & Human Resources Engineering, Architecture, & Planning",F,55416,83151,Annual,"100 Church St., N.Y."
LAW DEPARTMENT,Project Manager,PROJECT MANAGER,"Administration & Human Resources Engineering, Architecture, & Planning",F,55416,83151,Annual,"100 Church St., N.Y."
DEPT OF INFO TECH & TELECOMM,Sourcing Analyst,ADMINISTRATIVE STAFF ANALYST (,"Finance, Accounting, & Procurement",,58675,108000,Annual,15 Metrotech
DEPT OF HEALTH/MENTAL HYGIENE,"Nurse Home Visitor, Bureau of Maternal Infant and Reproductive Health",FAMILY PUB HEALTH NURSE (HMH),Health,F,86194,86194,Annual,R E DEV FOR Preservation
DEPT OF HEALTH/MENTAL HYGIENE,"Nurse Home Visitor, Bureau of Maternal Infant and Reproductive Health",FAMILY PUB HEALTH NURSE (HMH),Health,F,86194,86194,Annual,R E DEV FOR Preservation
DEPT OF HEALTH/MENTAL HYGIENE,"Senior Public Health Advisor, Bureau of Immunization/Immunization Surveillance",PUBLIC HEALTH ADVISER,Health,F,45782,56860.92,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"Senior Public Health Advisor, Bureau of Immunization/Immunization Surveillance",PUBLIC HEALTH ADVISER,Health,F,45782,56860.92,Annual,42-09 28th Street
OFFICE OF THE COMPTROLLER,Senior Construction Contract Analyst,PROCUREMENT ANALYST,"Finance, Accounting, & Procurement",F,65000,75000,Annual,"1 Centre St., N.Y."
OFFICE OF THE COMPTROLLER,Senior Construction Contract Analyst,PROCUREMENT ANALYST,"Finance, Accounting, & Procurement",F,65000,75000,Annual,"1 Centre St., N.Y."
OFFICE OF THE COMPTROLLER,Senior IT Contract Analyst,PROCUREMENT ANALYST,"Finance, Accounting, & Procurement",F,65000,73000,Annual,"1 Centre St., N.Y."
OFFICE OF THE COMPTROLLER,Senior IT Contract Analyst,PROCUREMENT ANALYST,"Finance, Accounting, & Procurement",F,65000,73000,Annual,"1 Centre St., N.Y."
DEPT OF ENVIRONMENT PROTECTION,Custodian I,CUSTODIAN,Health Building Operations & Maintenance,F,31921,44974,Annual,420 East 38Th St.
DEPT OF ENVIRONMENT PROTECTION,Custodian I,CUSTODIAN,Health Building Operations & Maintenance,F,31921,44974,Annual,420 East 38Th St.
DEPT OF HEALTH/MENTAL HYGIENE,"Environmental Analyst, Bureau of Environmental Surveillance and Policy",CITY RESEARCH SCIENTIST,"Health Policy, Research & Analysis",,62272,68499,Annual,"125 Worth Street, Nyc"
DEPT OF HEALTH/MENTAL HYGIENE,"Environmental Analyst, Bureau of Environmental Surveillance and Policy",CITY RESEARCH SCIENTIST,"Health Policy, Research & Analysis",,62272,68499,Annual,"125 Worth Street, Nyc"
MAYORS OFFICE OF CONTRACT SVCS,Accountant,RESEARCH PROJECTS COOR(MA)-MGR,"Finance, Accounting, & Procurement",F,65000,85000,Annual,253 Broadway New York Ny
MAYORS OFFICE OF CONTRACT SVCS,Accountant,RESEARCH PROJECTS COOR(MA)-MGR,"Finance, Accounting, & Procurement",F,65000,85000,Annual,253 Broadway New York Ny
MAYORS OFFICE OF CONTRACT SVCS,"Associate Director, Policy & Partnerships",RESEARCH PROJECTS COOR(MA)-MGR,"Constituent Services & Community Programs Communications & Intergovernmental Affairs Policy, Research & Analysis",F,115000,118000,Annual,253 Broadway New York Ny
MAYORS OFFICE OF CONTRACT SVCS,"Associate Director, Policy & Partnerships",RESEARCH PROJECTS COOR(MA)-MGR,"Constituent Services & Community Programs Communications & Intergovernmental Affairs Policy, Research & Analysis",F,115000,118000,Annual,253 Broadway New York Ny
DEPT OF HEALTH/MENTAL HYGIENE,"NFP Social Worker, Bureau of Maternal Infant and Reproductive Health",SUPERVISOR II SOCIAL WORK,Health Social Services,F,64507,74183,Annual,R E DEV FOR Preservation
DEPT OF HEALTH/MENTAL HYGIENE,"NFP Social Worker, Bureau of Maternal Infant and Reproductive Health",SUPERVISOR II SOCIAL WORK,Health Social Services,F,64507,74183,Annual,R E DEV FOR Preservation
DEPT OF INFO TECH & TELECOMM,Service Desk Agent,TELECOMMUNICATIONS ASSOCIATE (,"Technology, Data & Innovation",,42129,55000,Annual,15 Metrotech
DEPT OF INFO TECH & TELECOMM,Service Desk Agent,TELECOMMUNICATIONS ASSOCIATE (,"Technology, Data & Innovation",,42129,55000,Annual,15 Metrotech
DEPT OF HEALTH/MENTAL HYGIENE,Policies & Procedures Specialist,COMMUNITY COORDINATOR,Health,,52524,81535,Annual,421 East 26th Street NY NY
DEPT OF HEALTH/MENTAL HYGIENE,Policies & Procedures Specialist,COMMUNITY COORDINATOR,Health,,52524,81535,Annual,421 East 26th Street NY NY
DEPT OF HEALTH/MENTAL HYGIENE,"Technical Specialist, Bureau of Environmental Sciences and Engineering",SCIENTIST (WATER ECOLOGY),"Health Public Safety, Inspections, & Enforcement",,63957,79435.08,Annual,42-09 28th Street
DEPT OF HEALTH/MENTAL HYGIENE,"Technical Specialist, Bureau of Environmental Sciences and Engineering",SCIENTIST (WATER ECOLOGY),"Health Public Safety, Inspections, & Enforcement",,63957,79435.08,Annual,42-09 28th Street
DEPT OF ENVIRONMENT PROTECTION,Senior Counsel,EXECUTIVE AGENCY COUNSEL,Legal Affairs,F,105000,120000,Annual,59-17 Junction Blvd Corona Ny
